Begin Rod,Weather,Time,Level,,difficulty,motionType,minFishSize,maxFishSize,time,season(ignored),weather,favourite bait(not used),Optimal depth,base chance?,depth penalty?,req level,,,RNG,,,,Water depth,1,Weather,Sunny,Recalc Y ->
,,First Pair Only,,0,1,2,3,4,5,6,7,8,9,10,11,12,num1,num2,num3,Independent chance,Curiosity Chance,,Fishing level,4,Time,1200,
1,1,1,1,129 Anchovy,30,dart,1,16,600 2600,spring fall,both,682 .2,1,0.25,0.3,0,0.25,0.075,0.33,33.00%,33.00%,13.74%,Curiorisy Lure,Y,Train Rod,,
1,1,1,1,131 Sardine,30,dart,1,12,600 1900,spring summer fall winter,both,683 .3,1,0.65,0.1,0,0.65,0.065,0.73,73.00%,73.00%,37.19%,,,Total Chance,95.07%,
1,0,0,1,148 Eel,70,smooth,12,80,1600 2600,spring fall,rainy,689 .35 680 .1,3,0.55,0.1,0,0.55,0.055,0.52,0.00%,0.00%,0.00%,,,,,
1,0,1,1,150 Red Snapper,40,mixed,8,25,600 1900,summer fall winter,rainy,682 .25,2,0.45,0.1,0,0.45,0.045,0.485,0.00%,0.00%,0.00%,,,,,
1,1,1,1,152 Seaweed,5,floater,5,30,600 2600,spring summer fall winter,both,-1,0,0.3,0,0,0.3,0,0.38,38.00%,38.00%,16.14%,,,,,
1,1,1,1,154 Sea Cucumber,40,sinker,3,20,600 1900,fall winter,both,683 .2 689 .4,3,0.25,0.25,0,0.25,0.0625,0.205,20.50%,22.44%,10.88%,,,,,
1,1,0,1,155 Super Cucumber,80,sinker,12,36,1800 2600,summer winter,both,683 .2 689 .4,4,0.1,0.25,0,0.1,0.025,0.105,0.00%,0.00%,0.00%,,,,,
1,1,0,1,705 Albacore,60,mixed,20,40,600 1100,fall winter,both,685 .35,3,0.3,0.15,0,0.3,0.045,0.29,0.00%,0.00%,0.00%,,,,,
1,1,0,1,705 Albacore,60,mixed,20,40,1800 2600,fall winter,both,685 .35,3,0.3,0.15,0,0.3,0.045,0.29,0.00%,0.00%,0.00%,,,,,
1,1,1,1,701 Tilapia,50,mixed,11,30,600 1400,summer fall,both,683 .35,3,0.4,0.2,0,0.4,0.08,0.32,32.00%,32.00%,17.13%,,,,,
