Begin Rod,Weather,Time,Level,,difficulty,motionType,minFishSize,maxFishSize,time,season(ignored),weather,favourite bait(not used),Optimal depth,base chance?,depth penalty?,req level,,,RNG,,,,Water depth,5,Weather,Rainy,Recalc Y ->
,,First Pair Only,,0,1,2,3,4,5,6,7,8,9,10,11,12,num1,num2,num3,Independent chance,Curiosity Chance,,Fishing level,6,Time,800,
1,0,0,1,128 Pufferfish,80,floater,1,36,1200 1600,summer,sunny,690 .4 685 .1,4,0.3,0.5,0,0.3,0.15,0.42,0.00%,0.00%,0.00%,Curiorisy Lure,Y,Train Rod,N,
1,1,1,1,130 Tuna,70,smooth,12,60,600 1900,summer winter,both,689 .35 681 .1,3,0.15,0.55,0,0.15,0.0825,0.27,27.00%,27.00%,0.00%,,,Total Chance,78.28%,
1,1,1,1,146 Red Mullet,55,smooth,8,22,600 1900,summer winter,both,680 .25,2,0.4,0.15,0,0.4,0.06,0.52,52.00%,52.00%,0.00%,,,,,
1,1,1,1,149 Octopus,95,sinker,12,48,600 1300,summer,both,688 .6 684 .1,5,0.1,0.08,0,0.1,0.008,0.22,22.00%,23.46%,0.00%,,,,,
1,1,1,1,150 Red Snapper,40,mixed,8,25,600 1900,summer fall winter,rainy,682 .25,2,0.45,0.1,0,0.45,0.045,0.57,57.00%,57.00%,0.00%,,,,,
1,1,1,1,152 Seaweed,5,floater,5,30,600 2600,spring summer fall winter,both,-1,0,0.3,0,0,0.3,0,0.42,42.00%,42.00%,28.06%,,,,,
1,1,0,1,155 Super Cucumber,80,sinker,12,36,1800 2600,summer winter,both,683 .2 689 .4,4,0.1,0.25,0,0.1,0.025,0.22,0.00%,0.00%,13.26%,,,,,
1,1,1,1,708 Halibut,50,sinker,10,33,600 1100,spring summer winter,both,681 .35,3,0.4,0.2,0,0.4,0.08,0.52,52.00%,52.00%,0.00%,,,,,
1,1,0,1,708 Halibut,50,sinker,10,33,1900 2600,spring summer winter,both,681 .35,3,0.4,0.2,0,0.4,0.08,0.52,0.00%,0.00%,36.96%,,,,,
1,1,1,1,701 Tilapia,50,mixed,11,30,600 1400,summer fall,both,683 .35,3,0.4,0.2,0,0.4,0.08,0.52,52.00%,52.00%,0.00%,,,,,
1,1,1,1,267 Flounder,50,sinker,4,16,600 2000,spring summer,both,680 .25,2,0.15,0.05,0,0.15,0.0075,0.27,27.00%,27.00%,0.00%,,,,,
