Begin Rod,Weather,Time,Level,,difficulty,motionType,minFishSize,maxFishSize,time,season(ignored),weather,favourite bait(not used),Optimal depth,base chance?,depth penalty?,req level,,,RNG,,,,Water depth,0,Weather,Sunny,Recalc Y ->
,,First Pair Only,,0,1,2,3,4,5,6,7,8,9,10,11,12,num1,num2,num3,Independent chance,Curiosity Chance,,Fishing level,0,Time,700,
0,1,1,1,708 Halibut,50,sinker,10,33,600 1100,spring summer winter,both,681 .35,3,0.4,0.2,0,0.4,0.08,0.176,0.00%,0.00%,0.00%,Curiorisy Lure,N,Train Rod,Y,
0,1,0,1,708 Halibut,50,sinker,10,33,1900 2600,spring summer winter,both,681 .35,3,0.4,0.2,0,0.4,0.08,0.176,0.00%,0.00%,0.00%,,,Total Chance,87.67%,
0,1,1,1,130 Tuna,70,smooth,12,60,600 1900,summer winter,both,689 .35 681 .1,3,0.15,0.55,0,0.15,0.0825,-0.10725,0.00%,0.00%,0.00%,,,,,
1,1,1,1,131 Sardine,30,dart,1,12,600 1900,spring summer fall winter,both,683 .3,1,0.65,0.1,0,0.65,0.065,0.6435,64.35%,64.35%,41.32%,,,,,
0,1,1,1,146 Red Mullet,55,smooth,8,22,600 1900,summer winter,both,680 .25,2,0.4,0.15,0,0.4,0.06,0.308,0.00%,0.00%,0.00%,,,,,
1,1,1,1,147 Herring,25,dart,8,20,600 2600,spring winter,both,685 .2,1,0.45,0.1,0,0.45,0.045,0.4455,44.55%,44.55%,25.32%,,,,,
1,0,1,1,150 Red Snapper,40,mixed,8,25,600 1900,summer fall winter,rainy,682 .25,2,0.45,0.1,0,0.45,0.045,0.396,0.00%,0.00%,0.00%,,,,,
0,1,0,1,151 Squid,75,sinker,12,48,1800 2600,winter,both,690 .35 680 .1,3,0.35,0.3,0,0.35,0.105,0.0385,0.00%,0.00%,0.00%,,,,,
1,1,1,1,152 Seaweed,5,floater,5,30,600 2600,spring summer fall winter,both,-1,0,0.3,0,0,0.3,0,0.33,33.00%,33.00%,17.71%,,,,,
1,1,1,1,154 Sea Cucumber,40,sinker,3,20,600 1900,fall winter,both,683 .2 689 .4,3,0.25,0.25,0,0.25,0.0625,0.06875,6.88%,6.88%,3.32%,,,,,
0,1,1,1,705 Albacore,60,mixed,20,40,600 1100,fall winter,both,685 .35,3,0.3,0.15,0,0.3,0.045,0.1815,0.00%,0.00%,0.00%,,,,,
0,1,0,1,705 Albacore,60,mixed,20,40,1800 2600,fall winter,both,685 .35,3,0.3,0.15,0,0.3,0.045,0.1815,0.00%,0.00%,0.00%,,,,,
