Begin Rod,Weather,Time,Level,,difficulty,motionType,minFishSize,maxFishSize,time,season(ignored),weather,favourite bait(not used),Optimal depth,base chance?,depth penalty?,req level,,,RNG,,,,Water depth,1,Weather,Sunny,Recalc Y ->
,,First Pair Only,,0,1,2,3,4,5,6,7,8,9,10,11,12,num1,num2,num3,Independent chance,Curiosity Chance,,Fishing level,0,Time,1200,
0,1,1,1,699 Tiger Trout,60,dart,10,20,600 1900,spring summer fall winter,both,688 .45 685 .2,3,0.2,0.1,0,0.2,0.02,0.16,0.00%,0.00%,0.00%,Curiorisy Lure,N,Train Rod,Y,
1,1,0,1,132 Bream,35,smooth,12,30,1800 2600,spring summer fall winter,both,684 .35,1,0.45,0.1,0,0.45,0.045,0.45,0.00%,0.00%,0.00%,,,,,
1,1,1,1,141 Perch,35,dart,10,24,600 2600,winter,both,683 .2,1,0.45,0.1,0,0.45,0.045,0.45,45.00%,45.00%,34.88%,,,,,
1,0,1,1,140 Walleye,45,smooth,10,40,1200 2600,fall winter,rainy,680 .35,2,0.4,0.15,0,0.4,0.06,0.34,0.00%,0.00%,0.00%,,,,,
0,0,1,1,143 Catfish,75,mixed,12,72,600 2400,spring fall winter,rainy,689 .4 680 .1,4,0.4,0.1,0,0.4,0.04,0.28,0.00%,0.00%,0.00%,,,Total Chance,96.57%,
0,1,1,1,144 Pike,60,dart,15,60,600 2600,summer winter,both,690 .3 681 .1,3,0.4,0.15,0,0.4,0.06,0.28,0.00%,0.00%,0.00%,,,,,
1,1,1,1,153 Green Algae,5,floater,5,30,600 2600,spring summer fall winter,both,-1,0,0.3,0,0,0.3,0,0.3,30.00%,30.00%,26.82%,,,,,
0,1,1,1,707 Lingcod,85,mixed,30,50,600 2600,winter,both,690 .4 685 .2,3,0.3,0.05,0,0.3,0.015,0.27,0.00%,0.00%,0.00%,,,,,
1,1,1,1,702 Chub,35,dart,12,24,600 2600,spring summer fall winter,both,684 .35,1,0.45,0.1,0,0.45,0.045,0.45,45.00%,45.00%,34.88%,,,,,
