Time,0,136 Largemouth Bass,140 Walleye,141 Perch,153 Green Algae,707 Lingcod,702 Chub,700 Bullhead,698 Sturgeon,269 Midnight Carp
600,Independent chance,0.24,0,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
700,Independent chance,0.24,0,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
800,Independent chance,0.24,0,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
900,Independent chance,0.24,0,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1000,Independent chance,0.24,0,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1100,Independent chance,0.24,0,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1200,Independent chance,0.24,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1300,Independent chance,0.24,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1400,Independent chance,0.24,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1500,Independent chance,0.24,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1600,Independent chance,0.24,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1700,Independent chance,0.24,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1800,Independent chance,0.24,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0.21,0
1900,Independent chance,0,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0,0
2000,Independent chance,0,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0,0
2100,Independent chance,0,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0,0
2200,Independent chance,0,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0,0.33
2300,Independent chance,0,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0,0.33
0,Independent chance,0,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0,0.33
100,Independent chance,0,0.34,0.45,0.3,0.27,0.45,0.27999999999999997,0,0.33
