Time,0,129 Anchovy,131 Sardine,147 Herring,148 Eel,152 Seaweed,708 Halibut,708 Halibut,267 Flounder
0,Independent chance,0,0,0,0,0,0,0,0
100,Independent chance,0,0,0,0,0,0,0,0
200,Independent chance,0,0,0,0,0,0,0,0
300,Independent chance,0,0,0,0,0,0,0,0
400,Independent chance,0,0,0,0,0,0,0,0
500,Independent chance,0,0,0,0,0,0,0,0
600,Independent chance,0.25,0.65,0.45,0,0.3,0.24,0,0.1425
700,Independent chance,0.25,0.65,0.45,0,0.3,0.24,0,0.1425
800,Independent chance,0.25,0.65,0.45,0,0.3,0.24,0,0.1425
900,Independent chance,0.25,0.65,0.45,0,0.3,0.24,0,0.1425
1000,Independent chance,0.25,0.65,0.45,0,0.3,0.24,0,0.1425
1100,Independent chance,0.25,0.65,0.45,0,0.3,0,0,0.1425
1200,Independent chance,0.25,0.65,0.45,0,0.3,0,0,0.1425
1300,Independent chance,0.25,0.65,0.45,0,0.3,0,0,0.1425
1400,Independent chance,0.25,0.65,0.45,0,0.3,0,0,0.1425
1500,Independent chance,0.25,0.65,0.45,0,0.3,0,0,0.1425
1600,Independent chance,0.25,0.65,0.45,0.44000000000000006,0.3,0,0,0.1425
1700,Independent chance,0.25,0.65,0.45,0.44000000000000006,0.3,0,0,0.1425
1800,Independent chance,0.25,0.65,0.45,0.44000000000000006,0.3,0,0,0.1425
1900,Independent chance,0.25,0,0.45,0.44000000000000006,0.3,0,0.24,0.1425
2000,Independent chance,0.25,0,0.45,0.44000000000000006,0.3,0,0.24,0
2100,Independent chance,0.25,0,0.45,0.44000000000000006,0.3,0,0.24,0
2200,Independent chance,0.25,0,0.45,0.44000000000000006,0.3,0,0.24,0
2300,Independent chance,0.25,0,0.45,0.44000000000000006,0.3,0,0.24,0
