Time,0,708 Halibut,708 Halibut,130 Tuna,131 Sardine,146 Red Mullet,147 Herring,150 Red Snapper,151 Squid,152 Seaweed,154 Sea Cucumber,705 Albacore,705 Albacore
600,Independent chance,0.15999999999999998,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0.16499999999999998,0
700,Independent chance,0.15999999999999998,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0.16499999999999998,0
800,Independent chance,0.15999999999999998,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0.16499999999999998,0
900,Independent chance,0.15999999999999998,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0.16499999999999998,0
1000,Independent chance,0.15999999999999998,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0.16499999999999998,0
1100,Independent chance,0,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0,0
1200,Independent chance,0,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0,0
1300,Independent chance,0,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0,0
1400,Independent chance,0,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0,0
1500,Independent chance,0,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0,0
1600,Independent chance,0,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0,0
1700,Independent chance,0,0,0,0.585,0.28,0.405,0.36,0,0.3,0.0625,0,0
1800,Independent chance,0,0,0,0.585,0.28,0.405,0.36,0.034999999999999976,0.3,0.0625,0,0.16499999999999998
1900,Independent chance,0,0.15999999999999998,0,0,0,0.405,0,0.034999999999999976,0.3,0,0,0.16499999999999998
2000,Independent chance,0,0.15999999999999998,0,0,0,0.405,0,0.034999999999999976,0.3,0,0,0.16499999999999998
2100,Independent chance,0,0.15999999999999998,0,0,0,0.405,0,0.034999999999999976,0.3,0,0,0.16499999999999998
2200,Independent chance,0,0.15999999999999998,0,0,0,0.405,0,0.034999999999999976,0.3,0,0,0.16499999999999998
2300,Independent chance,0,0.15999999999999998,0,0,0,0.405,0,0.034999999999999976,0.3,0,0,0.16499999999999998
0,Independent chance,0,0.15999999999999998,0,0,0,0.405,0,0.034999999999999976,0.3,0,0,0.16499999999999998
100,Independent chance,0,0.15999999999999998,0,0,0,0.405,0,0.034999999999999976,0.3,0,0,0.16499999999999998
