Time,0,145 Sunfish,138 Rainbow Trout,132 Bream,144 Pike,153 Green Algae,706 Shad,704 Dorado,702 Chub
0,Independent chance,0,0,0,0,0,0,0,0
100,Independent chance,0,0,0,0,0,0,0,0
200,Independent chance,0,0,0,0,0,0,0,0
300,Independent chance,0,0,0,0,0,0,0,0
400,Independent chance,0,0,0,0,0,0,0,0
500,Independent chance,0,0,0,0,0,0,0,0
600,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
700,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
800,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
900,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
1000,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
1100,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
1200,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
1300,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
1400,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
1500,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
1600,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
1700,Independent chance,0.45,0.245,0,0.28,0.3,0,0.12,0.45
1800,Independent chance,0.45,0.245,0.45,0.28,0.3,0,0.12,0.45
1900,Independent chance,0,0,0.45,0.28,0.3,0,0,0.45
2000,Independent chance,0,0,0.45,0.28,0.3,0,0,0.45
2100,Independent chance,0,0,0.45,0.28,0.3,0,0,0.45
2200,Independent chance,0,0,0.45,0.28,0.3,0,0,0.45
2300,Independent chance,0,0,0.45,0.28,0.3,0,0,0.45
