Time,0,139 Salmon,137 Smallmouth Bass,132 Bream,140 Walleye,143 Catfish,153 Green Algae,706 Shad,699 Tiger Trout
600,Independent chance,0.42000000000000004,0.47000000000000003,0,0,0.38,0.32,0,0.22
700,Independent chance,0.42000000000000004,0.47000000000000003,0,0,0.38,0.32,0,0.22
800,Independent chance,0.42000000000000004,0.47000000000000003,0,0,0.38,0.32,0,0.22
900,Independent chance,0.42000000000000004,0.47000000000000003,0,0,0.38,0.32,0.37,0.22
1000,Independent chance,0.42000000000000004,0.47000000000000003,0,0,0.38,0.32,0.37,0.22
1100,Independent chance,0.42000000000000004,0.47000000000000003,0,0,0.38,0.32,0.37,0.22
1200,Independent chance,0.42000000000000004,0.47000000000000003,0,0.42000000000000004,0.38,0.32,0.37,0.22
1300,Independent chance,0.42000000000000004,0.47000000000000003,0,0.42000000000000004,0.38,0.32,0.37,0.22
1400,Independent chance,0.42000000000000004,0.47000000000000003,0,0.42000000000000004,0.38,0.32,0.37,0.22
1500,Independent chance,0.42000000000000004,0.47000000000000003,0,0.42000000000000004,0.38,0.32,0.37,0.22
1600,Independent chance,0.42000000000000004,0.47000000000000003,0,0.42000000000000004,0.38,0.32,0.37,0.22
1700,Independent chance,0.42000000000000004,0.47000000000000003,0,0.42000000000000004,0.38,0.32,0.37,0.22
1800,Independent chance,0.42000000000000004,0.47000000000000003,0.47000000000000003,0.42000000000000004,0.38,0.32,0.37,0.22
1900,Independent chance,0,0.47000000000000003,0.47000000000000003,0.42000000000000004,0.38,0.32,0.37,0
2000,Independent chance,0,0.47000000000000003,0.47000000000000003,0.42000000000000004,0.38,0.32,0.37,0
2100,Independent chance,0,0.47000000000000003,0.47000000000000003,0.42000000000000004,0.38,0.32,0.37,0
2200,Independent chance,0,0.47000000000000003,0.47000000000000003,0.42000000000000004,0.38,0.32,0.37,0
2300,Independent chance,0,0.47000000000000003,0.47000000000000003,0.42000000000000004,0.38,0.32,0.37,0
0,Independent chance,0,0.47000000000000003,0.47000000000000003,0.42000000000000004,0,0.32,0.37,0
100,Independent chance,0,0.47000000000000003,0.47000000000000003,0.42000000000000004,0,0.32,0.37,0
