Time,0,132 Bream,140 Walleye,141 Perch,143 Catfish,144 Pike,153 Green Algae,707 Lingcod,699 Tiger Trout
0,Independent chance,0,0,0,0,0,0,0,0
100,Independent chance,0,0,0,0,0,0,0,0
200,Independent chance,0,0,0,0,0,0,0,0
300,Independent chance,0,0,0,0,0,0,0,0
400,Independent chance,0,0,0,0,0,0,0,0
500,Independent chance,0,0,0,0,0,0,0,0
600,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
700,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
800,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
900,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
1000,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
1100,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
1200,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
1300,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
1400,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
1500,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
1600,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
1700,Independent chance,0,0,0.51,0,0.46,0.36,0.36,0.26
1800,Independent chance,0.51,0,0.51,0,0.46,0.36,0.36,0.26
1900,Independent chance,0.51,0,0.51,0,0.46,0.36,0.36,0
2000,Independent chance,0.51,0,0.51,0,0.46,0.36,0.36,0
2100,Independent chance,0.51,0,0.51,0,0.46,0.36,0.36,0
2200,Independent chance,0.51,0,0.51,0,0.46,0.36,0.36,0
2300,Independent chance,0.51,0,0.51,0,0.46,0.36,0.36,0
