Time,0,142: "Carp,143: "Catfish,734: "Woodskip
0,Independent chance,0,0,0
100,Independent chance,0,0,0
200,Independent chance,0,0,0
300,Independent chance,0,0,0
400,Independent chance,0,0,0
500,Independent chance,0,0,0
600,Independent chance,0.51,0,0.26
700,Independent chance,0.51,0,0.26
800,Independent chance,0.51,0,0.26
900,Independent chance,0.51,0,0.26
1000,Independent chance,0.51,0,0.26
1100,Independent chance,0.51,0,0.26
1200,Independent chance,0.51,0,0.26
1300,Independent chance,0.51,0,0.26
1400,Independent chance,0.51,0,0.26
1500,Independent chance,0.51,0,0.26
1600,Independent chance,0.51,0,0.26
1700,Independent chance,0.51,0,0.26
1800,Independent chance,0.51,0,0.26
1900,Independent chance,0.51,0,0.26
2000,Independent chance,0.51,0,0.26
2100,Independent chance,0.51,0,0.26
2200,Independent chance,0.51,0,0.26
2300,Independent chance,0.51,0,0.26
