Time,0,153 Green Algae,164 Sandfish,165 Scorpion Carp
600,Independent chance,0.48,0.8300000000000001,0.32999999999999996
700,Independent chance,0.48,0.8300000000000001,0.32999999999999996
800,Independent chance,0.48,0.8300000000000001,0.32999999999999996
900,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1000,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1100,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1200,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1300,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1400,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1500,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1600,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1700,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1800,Independent chance,0.48,0.8300000000000001,0.32999999999999996
1900,Independent chance,0.48,0.8300000000000001,0.32999999999999996
2000,Independent chance,0.48,0,0
2100,Independent chance,0.48,0,0
2200,Independent chance,0.48,0,0
2300,Independent chance,0.48,0,0
0,Independent chance,0.48,0,0
100,Independent chance,0.48,0,0
