Time,0,708 Halibut,708 Halibut,130 Tuna,131 Sardine,146 Red Mullet,147 Herring,150 Red Snapper,151 Squid,152 Seaweed,154 Sea Cucumber,705 Albacore,705 Albacore
0,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
100,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
600,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
700,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
800,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
900,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1000,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1100,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1200,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1300,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1400,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1500,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1600,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1700,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1800,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
1900,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
2000,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
2100,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
2200,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
2300,,0,0,0,0.4132074727,0,0.2531863477,0,0,0.1771155211,0.03315116144,0,0
