recepie,ingredient,amount
Algae_Soup,Green_Algae,4
Artichoke_Dip,Artichoke,1
Artichoke_Dip,Milk,1
Autumn's_Bounty,Yam,1
Autumn's_Bounty,Pumpkin,1
Baked_Fish,Sunfish,1
Baked_Fish,Bream,1
Baked_Fish,Wheat_Flour,1
Banana_Pudding,Banana,1
Banana_Pudding,Milk,1
Banana_Pudding,Sugar,1
Bean_Hotpot,Green_Bean,2
Blackberry_Cobbler,Blackberry,2
Blackberry_Cobbler,Sugar,1
Blackberry_Cobbler,Wheat_Flour,1
Blueberry_Tart,Blueberry,1
Blueberry_Tart,Wheat_Flour,1
Blueberry_Tart,Sugar,1
Blueberry_Tart,Egg,1
Bread,Wheat_Flour,1
Bruschetta,Bread,1
Bruschetta,Oil,1
Bruschetta,Tomato,1
Carp_Surprise,Carp,4
Cheese_Cauliflower,Cauliflower,1
Cheese_Cauliflower,Cheese,1
Chocolate_Cake,Wheat_Flour,1
Chocolate_Cake,Sugar,1
Chocolate_Cake,Egg,1
Chowder,Clam,1
Chowder,Milk,1
Coleslaw,Red_Cabbage,1
Coleslaw,Vinegar,1
Coleslaw,Mayonnaise,1
Complete_Breakfast,Fried_Egg,1
Complete_Breakfast,Milk,1
Complete_Breakfast,Hashbrowns,1
Complete_Breakfast,Pancakes,1
Cookie,Wheat_Flour,1
Cookie,Sugar,1
Cookie,Egg,1
Crab_Cakes,Crab,1
Crab_Cakes,Wheat_Flour,1
Crab_Cakes,Egg,1
Crab_Cakes,Oil,1
Cranberry_Candy,Cranberries,1
Cranberry_Candy,Apple,1
Cranberry_Candy,Sugar,1
Cranberry_Sauce,Cranberries,1
Cranberry_Sauce,Sugar,1
Crispy_Bass,Largemouth_Bass,1
Crispy_Bass,Wheat_Flour,1
Crispy_Bass,Oil,1
Dish_O'_The_Sea,Sardine,2
Dish_O'_The_Sea,Hashbrowns,1
Eggplant_Parmesan,Eggplant,1
Eggplant_Parmesan,Tomato,1
Escargot,Snail,1
Escargot,Garlic,1
Farmer's_Lunch,Omelet,1
Farmer's_Lunch,Parsnip,1
Fiddlehead_Risotto,Oil,1
Fiddlehead_Risotto,Fiddlehead_Fern,1
Fiddlehead_Risotto,Garlic,1
Fish_Stew,Crayfish,1
Fish_Stew,Mussel,1
Fish_Stew,Periwinkle,1
Fish_Stew,Tomato,1
Fish_Taco,Tuna,1
Fish_Taco,Tortilla,1
Fish_Taco,Red_Cabbage,1
Fish_Taco,Mayonnaise,1
Fried_Calamari,Squid,1
Fried_Calamari,Wheat_Flour,1
Fried_Calamari,Oil,1
Fried_Eel,Eel,1
Fried_Eel,Oil,1
Fried_Egg,Egg,1
Fried_Mushroom,Common_Mushroom,1
Fried_Mushroom,Morel,1
Fried_Mushroom,Oil,1
Fruit_Salad,Blueberry,1
Fruit_Salad,Melon,1
Fruit_Salad,Apricot,1
Ginger_Ale,Ginger,3
Ginger_Ale,Sugar,1
Glazed_Yams,Yam,1
Glazed_Yams,Sugar,1
Hashbrowns,Potato,1
Hashbrowns,Oil,1
Ice_Cream,Milk,1
Ice_Cream,Sugar,1
Lobster_Bisque,Lobster,1
Lobster_Bisque,Milk,1
Lucky_Lunch,Sea_Cucumber,1
Lucky_Lunch,Tortilla,1
Lucky_Lunch,Blue_Jazz,1
Maki_Roll,Any_Fish,1
Maki_Roll,Seaweed,1
Maki_Roll,Rice,1
Mango_Sticky_Rice,Mango,1
Mango_Sticky_Rice,Coconut,1
Mango_Sticky_Rice,Rice,1
Maple_Bar,Maple_Syrup,1
Maple_Bar,Sugar,1
Maple_Bar,Wheat_Flour,1
Miner's_Treat,Cave_Carrot,2
Miner's_Treat,Sugar,1
Miner's_Treat,Milk,1
Moss_Soup,Moss,20
Omelet,Egg,1
Omelet,Milk,1
Pale_Broth,White_Algae,2
Pancakes,Wheat_Flour,1
Pancakes,Egg,1
Parsnip_Soup,Parsnip,1
Parsnip_Soup,Milk,1
Parsnip_Soup,Vinegar,1
Pepper_Poppers,Hot_Pepper,1
Pepper_Poppers,Cheese,1
Pink_Cake,Melon,1
Pink_Cake,Wheat_Flour,1
Pink_Cake,Sugar,1
Pink_Cake,Egg,1
Pizza,Wheat_Flour,1
Pizza,Tomato,1
Pizza,Cheese,1
Plum_Pudding,Wild_Plum,2
Plum_Pudding,Wheat_Flour,1
Plum_Pudding,Sugar,1
Poi,Taro_Root,4
Poppyseed_Muffin,Poppy,1
Poppyseed_Muffin,Wheat_Flour,1
Poppyseed_Muffin,Sugar,1
Pumpkin_Pie,Pumpkin,1
Pumpkin_Pie,Wheat_Flour,1
Pumpkin_Pie,Milk,1
Pumpkin_Pie,Sugar,1
Pumpkin_Soup,Pumpkin,1
Pumpkin_Soup,Milk,1
Radish_Salad,Oil,1
Radish_Salad,Vinegar,1
Radish_Salad,Radish,1
Red_Plate,Red_Cabbage,1
Red_Plate,Radish,1
Rhubarb_Pie,Rhubarb,1
Rhubarb_Pie,Wheat_Flour,1
Rhubarb_Pie,Sugar,1
Rice_Pudding,Milk,1
Rice_Pudding,Sugar,1
Rice_Pudding,Rice,1
Roasted_Hazelnuts,Hazelnut,3
Roots_Platter,Cave_Carrot,1
Roots_Platter,Winter_Root,1
Salad,Leek,1
Salad,Dandelion,1
Salad,Vinegar,1
Salmon_Dinner,Salmon,1
Salmon_Dinner,Amaranth,1
Salmon_Dinner,Kale,1
Sashimi,Any_Fish,1
Seafoam_Pudding,Flounder,1
Seafoam_Pudding,Midnight_Carp,1
Seafoam_Pudding,Squid_Ink,1
Shrimp_Cocktail,Tomato,1
Shrimp_Cocktail,Shrimp,1
